channel,Theta,sigma
channel_2,148.0,2.384e-05
channel_2,149.0,2.145e-05
channel_2,150.0,1.883e-05
channel_2,151.0,1.609e-05
channel_2,152.0,1.346e-05
channel_2,153.0,1.118e-05
channel_2,154.0,9.451e-06
channel_2,155.0,8.275e-06
channel_2,156.0,7.526e-06
channel_2,157.0,7.036e-06
channel_2,158.0,6.694e-06
channel_2,159.0,6.47e-06
channel_2,160.0,6.367e-06
channel_2,161.0,6.375e-06
channel_2,162.0,6.466e-06
channel_2,163.0,6.637e-06
channel_2,164.0,6.921e-06
channel_2,165.0,7.344e-06
channel_2,166.0,7.857e-06
channel_2,167.0,8.314e-06
channel_2,168.0,8.514e-06
channel_2,169.0,8.286e-06
channel_2,170.0,7.561e-06
channel_2,171.0,6.399e-06
channel_2,172.0,4.971e-06
channel_2,173.0,3.503e-06
channel_2,174.0,2.211e-06
channel_2,175.0,1.265e-06
channel_2,176.0,7.463e-07
channel_2,177.0,6.379e-07
channel_2,178.0,8.082e-07
channel_2,179.0,1.047e-06
channel_2,180.0,1.154e-06
